,label_tec,label_subtec,tec_name,sentence
0,T1055,T1055.011,Extra Window Memory Injection,Adversaries may inject malicious code into process via Extra Window Memory  in order to evade process-based defenses as well as possibly elevate privileges.
1,T1055,T1055.011,Extra Window Memory Injection,EWM injection is a method of executing arbitrary code in the address space of a separate live process.
2,T1055,T1055.011,Extra Window Memory Injection,"Before creating a window, graphical Windows-based processes must prescribe to or register a windows class, which stipulate appearance and behavior ."
3,T1055,T1055.011,Extra Window Memory Injection,Registration of new windows classes can include a request for up to 40 bytes of EWM to be appended to the allocated memory of each instance of that class.
4,T1055,T1055.011,Extra Window Memory Injection,This EWM is intended to store data specific to that window and has specific application programming interface  functions to set and get its value.
5,T1055,T1055.011,Extra Window Memory Injection,"Although small, the EWM is large enough to store a 32-bit pointer and is often used to point to a windows procedure."
6,T1055,T1055.011,Extra Window Memory Injection,"Malware may possibly utilize this memory location in part of an attack chain that includes writing code to shared sections of the process’s memory, placing a pointer to the code in EWM, then invoking execution by returning execution control to the address in the process’s EWM."
7,T1055,T1055.011,Extra Window Memory Injection,Execution granted through EWM injection may allow access to both the target process's memory and possibly elevated privileges.
8,T1055,T1055.011,Extra Window Memory Injection,Writing payloads to shared sections also avoids the use of highly monitored API calls such as WriteProcessMemory and CreateRemoteThread.
9,T1055,T1055.011,Extra Window Memory Injection,More sophisticated malware samples may also potentially bypass protection mechanisms such as data execution prevention  by triggering a combination of windows procedures and other system functions that will rewrite the malicious payload inside an executable portion of the target process.
10,T1055,T1055.011,Extra Window Memory Injection,"Running code in the context of another process may allow access to the process's memory, system/network resources, and possibly elevated privileges."
11,T1055,T1055.011,Extra Window Memory Injection,Execution via EWM injection may also evade detection from security products since the execution is masked under a legitimate process.
12,T1055,T1055.011,Extra Window Memory Injection,"Epic, has overwritten the function pointer in the extra window memory of Explorer's Shell_TrayWnd in order to execute malicious code in the context of the explorer.exe process."
13,T1055,T1055.011,Extra Window Memory Injection,"Power Loader, overwrites Explorer’s Shell_TrayWnd extra window memory to redirect execution to a NTDLL function that is abused to assemble and execute a return-oriented programming  chain and create a malicious thread within Explorer.exe."
14,T1053,T1053.005,Scheduled Task,Adversaries may abuse the Windows Task Scheduler to perform task scheduling for initial or recurring execution of malicious code.
15,T1053,T1053.005,Scheduled Task,There are multiple ways to access the Task Scheduler in Windows.
16,T1053,T1053.005,Scheduled Task,"The schtasks, utility can be run directly on the command line, or the Task Scheduler can be opened through the GUI within the Administrator Tools section of the Control Panel."
17,T1053,T1053.005,Scheduled Task,"In some cases, adversaries have used a .NET wrapper for the Windows Task Scheduler, and alternatively, adversaries have used the Windows netapi32 library to create a scheduled task."
18,T1053,T1053.005,Scheduled Task,"The deprecated at, utility could also be abused by adversaries , though at.exe can not access tasks created with schtasks or the Control Panel."
19,T1053,T1053.005,Scheduled Task,An adversary may use Windows Task Scheduler to execute programs at system startup or on a scheduled basis for persistence.
20,T1053,T1053.005,Scheduled Task,The Windows Task Scheduler can also be abused to conduct remote Execution as part of Lateral Movement and/or to run a process under the context of a specified account .
21,T1053,T1053.005,Scheduled Task,"Similar to System Binary Proxy Execution,, adversaries have also abused the Windows Task Scheduler to potentially mask one-time execution under signed/trusted system processes."
22,T1053,T1053.005,Scheduled Task,"Adversaries may also create ""hidden"" scheduled tasks  Hide Artifacts, that may not be visible to defender tools and manual queries used to enumerate tasks."
23,T1053,T1053.005,Scheduled Task,"Specifically, an adversary may hide a task from `schtasks /query` and the Task Scheduler by deleting the associated Security Descriptor  registry value ."
24,T1053,T1053.005,Scheduled Task,"Adversaries may also employ alternate methods to hide tasks, such as altering the metadata  within associated registry keys."
25,T1053,T1053.005,Scheduled Task,"GoldMax, has used scheduled tasks to maintain persistence."
26,T1053,T1053.005,Scheduled Task,"JSS Loader, has the ability to launch scheduled tasks to establish persistence."
27,T1053,T1053.005,Scheduled Task,"BabyShark, has used scheduled tasks to maintain persistence."
28,T1053,T1053.005,Scheduled Task,"DanBot, can use a scheduled task for installation."
29,T1053,T1053.005,Scheduled Task,"Helminth, has used a scheduled task for persistence."
30,T1053,T1053.005,Scheduled Task,"Milan, can establish persistence on a targeted host with scheduled tasks."
31,T1053,T1053.005,Scheduled Task,"HermeticWiper, has the ability to use scheduled tasks for execution."
32,T1053,T1053.005,Scheduled Task,"TrickBot, creates a scheduled task on the system that provides persistence."
33,T1053,T1053.005,Scheduled Task,"Carbon, creates several tasks for later execution to continue persistence on the victim’s machine."
34,T1053,T1053.005,Scheduled Task,"ComRAT, has used a scheduled task to launch its PowerShell loader."
35,T1053,T1053.005,Scheduled Task,"JHUHUGIT, has registered itself as a scheduled task to run each time the current user logs in."
36,T1053,T1053.005,Scheduled Task,"yty, establishes persistence by creating a scheduled task with the command SchTasks /Create /SC DAILY /TN BigData /TR “ + path_file + “/ST 09:30“."
37,T1053,T1053.005,Scheduled Task,"Sibot, has been executed via a scheduled task."
38,T1053,T1053.005,Scheduled Task,"Anchor, can create a scheduled task for persistence."
39,T1053,T1053.005,Scheduled Task,"GrimAgent, has the ability to set persistence using the Task Scheduler."
40,T1053,T1053.005,Scheduled Task,"SVCReady, can create a scheduled task named `RecoveryExTask` to gain persistence."
41,T1053,T1053.005,Scheduled Task,"The different components of Machete, are executed by Windows Task Scheduler."
42,T1053,T1053.005,Scheduled Task,"SharpStage, has a persistence component to write a scheduled task for the payload."
43,T1053,T1053.005,Scheduled Task,"NotPetya, creates a task to reboot the system one hour after infection."
44,T1053,T1053.005,Scheduled Task,"zwShell, has used SchTasks for execution."
45,T1053,T1053.005,Scheduled Task,"Remexi, utilizes scheduled tasks as a persistence mechanism."
46,T1053,T1053.005,Scheduled Task,"Prestige, has been executed on a target system through a scheduled task created by Sandworm Team, using Impacket,."
47,T1053,T1053.005,Scheduled Task,"BADHATCH, can use `schtasks.exe` to gain persistence."
48,T1053,T1053.005,Scheduled Task,"Dridex, can maintain persistence via the creation of scheduled tasks within system directories such as `windows\system32\`, `windows\syswow64,` `winnt\system32`, and `winnt\syswow64`."
49,T1053,T1053.005,Scheduled Task,"Okrum,'s installer can attempt to achieve persistence by creating a scheduled task."
50,T1053,T1053.005,Scheduled Task,"Ramsay, can schedule tasks via the Windows COM API to maintain persistence."
51,T1053,T1053.005,Scheduled Task,"Crutch, has the ability to persist using scheduled tasks."
52,T1053,T1053.005,Scheduled Task,"Tomiris, has used `SCHTASKS /CREATE /SC DAILY /TN StartDVL /TR ""path to self,"" /ST 10:00` to establish persistence."
53,T1053,T1053.005,Scheduled Task,"Bad Rabbit,’s infpub.dat file creates a scheduled task to launch a malicious executable."
54,T1053,T1053.005,Scheduled Task,"IcedID, has created a scheduled task that executes every hour to establish persistence."
55,T1053,T1053.005,Scheduled Task,"SharpDisco, can create scheduled tasks to execute reverse shells that read and write data to and from specified SMB shares."
56,T1053,T1053.005,Scheduled Task,"BADNEWS, creates a scheduled task to establish by executing a malicious payload every subsequent minute."
57,T1053,T1053.005,Scheduled Task,"Dyre, has the ability to achieve persistence by adding a new task in the task scheduler to run every minute."
58,T1053,T1053.005,Scheduled Task,"ZxxZ, has used scheduled tasks for persistence and execution."
59,T1053,T1053.005,Scheduled Task,"Lucifer, has established persistence by creating the following scheduled task schtasks /create /sc minute /mo 1 /tn QQMusic ^ /tr C:Users\%USERPROFILE%\Downloads\spread.exe /F."
60,T1053,T1053.005,Scheduled Task,"Saint Bot, has created a scheduled task named ""Maintenance"" to establish persistence."
61,T1053,T1053.005,Scheduled Task,"GravityRAT, creates a scheduled task to ensure it is re-executed everyday."
62,T1053,T1053.005,Scheduled Task,"SoreFang, can gain persistence through use of scheduled tasks."
63,T1053,T1053.005,Scheduled Task,"BONDUPDATER, persists using a scheduled task that executes every minute."
64,T1053,T1053.005,Scheduled Task,"Lokibot, embedded the commands schtasks /Run /TN \Microsoft\Windows\DiskCleanup\SilentCleanup /I inside a batch script."
65,T1053,T1053.005,Scheduled Task,"Emotet, has maintained persistence through a scheduled task."
66,T1053,T1053.005,Scheduled Task,"Meteor, execution begins from a scheduled task named `Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeAll` and it creates a separate scheduled task called `mstask` to run the wiper only once at 23:55:00."
67,T1053,T1053.005,Scheduled Task,"Tarrask, is able to create “hidden” scheduled tasks for persistence."
68,T1053,T1053.005,Scheduled Task,"RTM, tries to add a scheduled task to establish persistence."
69,T1053,T1053.005,Scheduled Task,"SUGARDUMP, has created scheduled tasks called `MicrosoftInternetExplorerCrashRepoeterTaskMachineUA` and `MicrosoftEdgeCrashRepoeterTaskMachineUA`, which were configured to execute `CrashReporter.exe` during user logon."
70,T1053,T1053.005,Scheduled Task,"Shamoon, copies an executable payload to the target system by using SMB/Windows Admin Shares, and then scheduling an unnamed task to execute the malware."
71,T1053,T1053.005,Scheduled Task,"Agent Tesla,  has achieved persistence via scheduled tasks."
72,T1053,T1053.005,Scheduled Task,"Attor,'s installer plugin can schedule a new task that loads the dispatcher on boot/logon."
73,T1053,T1053.005,Scheduled Task,"Ryuk, can remotely create a scheduled task to execute itself on a system."
74,T1053,T1053.005,Scheduled Task,"EvilBunny, has executed commands via scheduled tasks."
75,T1053,T1053.005,Scheduled Task,"Maze, has created scheduled tasks using name variants such as ""Windows Update Security"", ""Windows Update Security Patches"", and ""Google Chrome Security Update"", to launch Maze, at a specific time."
76,T1053,T1053.005,Scheduled Task,"RemoteCMD, can execute commands remotely by creating a new schedule task on the remote system AppleJeus, has created a scheduled SYSTEM task that runs when a user logs in."
77,T1053,T1053.005,Scheduled Task,"One persistence mechanism used by CozyCar, is to register itself as a scheduled task."
78,T1053,T1053.005,Scheduled Task,"RainyDay, can use scheduled tasks to achieve persistence."
79,T1053,T1053.005,Scheduled Task,"ccf32, can run on a daily basis using a scheduled task."
80,T1053,T1053.005,Scheduled Task,"POWERSTATS, has established persistence through a scheduled task using the command ”C:\Windows\system32\schtasks.exe” /Create /F /SC DAILY /ST 12:00 /TN MicrosoftEdge /TR “c:\Windows\system32\wscript.exe C:\Windows\temp\Windows.vbe”."
81,T1053,T1053.005,Scheduled Task,"Valak, has used scheduled tasks to execute additional payloads and to gain persistence on a compromised host."
82,T1053,T1053.005,Scheduled Task,"Adversaries can instruct Duqu, to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials ."
83,T1053,T1053.005,Scheduled Task,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware.
